1,1,100,0,"[1, 33, 2]",013302
2,1,100,0,"[1, 34, 2]",013402
3,1,100,0,"[1, 35, 2]",013502
4,1,100,0,"[1, 36, 2]",013602
5,1,100,0,"[1, 33, 3]",013303
6,1,100,0,"[1, 34, 3]",013403
7,1,100,0,"[1, 35, 3]",013503
8,1,100,0,"[1, 36, 3]",013603
9,1,100,0,"[1, 33, 4]",013304
10,0.89,100,10,"[1, 34, 4]",013404
11,1,100,0,"[1, 35, 4]",013504
12,1,100,0,"[1, 36, 4]",013604
13,1,100,0,"[2, 33, 3]",023303
14,1,100,0,"[2, 34, 3]",023403
15,1,100,0,"[2, 35, 3]",023503
16,0.83,100,17,"[2, 36, 3]",023603
17,1,100,0,"[2, 33, 4]",023304
18,0.89,100,10,"[2, 34, 4]",023404
19,1,100,0,"[2, 35, 4]",023504
20,0.83,100,17,"[2, 36, 4]",023604
21,1,100,0,"[3, 33, 4]",033304
22,0.89,100,10,"[3, 34, 4]",033404
23,1,100,0,"[3, 35, 4]",033504
24,1,100,0,"[3, 36, 4]",033604
25,1,100,0,"[5, 37, 6]",053706
26,1,100,0,"[5, 38, 6]",053806
27,1,100,0,"[5, 39, 6]",053906
28,1,100,0,"[5, 40, 6]",054006
29,1,100,0,"[5, 37, 7]",053707
30,1,100,0,"[5, 38, 7]",053807
31,1,100,0,"[5, 39, 7]",053907
32,1,100,0,"[5, 40, 7]",054007
33,1,100,0,"[5, 37, 8]",053708
34,1,100,0,"[5, 38, 8]",053808
35,1,100,0,"[5, 39, 8]",053908
36,1,100,0,"[5, 40, 8]",054008
37,1,100,0,"[6, 37, 7]",063707
38,1,100,0,"[6, 38, 7]",063807
39,1,100,0,"[6, 39, 7]",063907
40,1,100,0,"[6, 40, 7]",064007
41,1,100,0,"[6, 37, 8]",063708
42,1,100,0,"[6, 38, 8]",063808
43,1,100,0,"[6, 39, 8]",063908
44,1,100,0,"[6, 40, 8]",064008
45,1,100,0,"[7, 37, 8]",073708
46,1,100,0,"[7, 38, 8]",073808
47,1,100,0,"[7, 39, 8]",073908
48,1,100,0,"[7, 40, 8]",074008
49,1,100,0,"[9, 41, 10]",094110
50,1,100,0,"[9, 42, 10]",094210
51,1,100,0,"[9, 43, 10]",094310
52,1,100,0,"[9, 44, 10]",094410
53,1,100,0,"[9, 41, 11]",094111
54,1,100,0,"[9, 42, 11]",094211
55,1,100,0,"[9, 43, 11]",094311
56,1,100,0,"[9, 44, 11]",094411
57,1,100,0,"[9, 41, 12]",094112
58,1,100,0,"[9, 42, 12]",094212
59,1,100,0,"[9, 43, 12]",094312
60,1,100,0,"[9, 44, 12]",094412
61,1,100,0,"[10, 41, 11]",104111
62,1,100,0,"[10, 42, 11]",104211
63,1,100,0,"[10, 43, 11]",104311
64,1,100,0,"[10, 44, 11]",104411
65,1,100,0,"[10, 41, 12]",104112
66,1,100,0,"[10, 42, 12]",104212
67,1,100,0,"[10, 43, 12]",104312
68,1,100,0,"[10, 44, 12]",104412
69,1,100,0,"[11, 41, 12]",114112
70,0.81,100,18,"[11, 42, 12]",114212
71,1,100,0,"[11, 43, 12]",114312
72,1,100,0,"[11, 44, 12]",114412
73,1,100,0,"[13, 45, 14]",134514
74,1,100,0,"[13, 46, 14]",134614
75,1,100,0,"[13, 47, 14]",134714
76,1,100,0,"[13, 48, 14]",134814
77,1,100,0,"[13, 45, 15]",134515
78,1,100,0,"[13, 46, 15]",134615
79,1,100,0,"[13, 47, 15]",134715
80,1,100,0,"[13, 48, 15]",134815
81,1,100,0,"[13, 45, 16]",134516
82,1,100,0,"[13, 46, 16]",134616
83,1,100,0,"[13, 47, 16]",134716
84,1,100,0,"[13, 48, 16]",134816
85,1,100,0,"[14, 45, 15]",144515
86,1,100,0,"[14, 46, 15]",144615
87,1,100,0,"[14, 47, 15]",144715
88,1,100,0,"[14, 48, 15]",144815
89,1,100,0,"[14, 45, 16]",144516
90,1,100,0,"[14, 46, 16]",144616
91,1,100,0,"[14, 47, 16]",144716
92,1,100,0,"[14, 48, 16]",144816
93,1,100,0,"[15, 45, 16]",154516
94,1,100,0,"[15, 46, 16]",154616
95,1,100,0,"[15, 47, 16]",154716
96,1,100,0,"[15, 48, 16]",154816
97,1,100,0,"[17, 49, 18]",174918
98,1,100,0,"[17, 50, 18]",175018
99,1,100,0,"[17, 51, 18]",175118
100,1,100,0,"[17, 52, 18]",175218
101,1,100,0,"[17, 49, 19]",174919
102,1,100,0,"[17, 50, 19]",175019
103,1,100,0,"[17, 51, 19]",175119
104,1,100,0,"[17, 52, 19]",175219
105,1,100,0,"[17, 49, 20]",174920
106,1,100,0,"[17, 50, 20]",175020
107,1,100,0,"[17, 51, 20]",175120
108,1,100,0,"[17, 52, 20]",175220
109,1,100,0,"[18, 49, 19]",184919
110,1,100,0,"[18, 50, 19]",185019
111,1,100,0,"[18, 51, 19]",185119
112,1,100,0,"[18, 52, 19]",185219
113,1,100,0,"[18, 49, 20]",184920
114,1,100,0,"[18, 50, 20]",185020
115,1,100,0,"[18, 51, 20]",185120
116,1,100,0,"[18, 52, 20]",185220
117,1,100,0,"[19, 49, 20]",194920
118,1,100,0,"[19, 50, 20]",195020
119,1,100,0,"[19, 51, 20]",195120
120,1,100,0,"[19, 52, 20]",195220
121,1,100,0,"[21, 53, 22]",215322
122,1,100,0,"[21, 54, 22]",215422
123,1,100,0,"[21, 55, 22]",215522
124,1,100,0,"[21, 56, 22]",215622
125,1,100,0,"[21, 53, 23]",215323
126,1,100,0,"[21, 54, 23]",215423
